rank,candidate_id,score,reasoning
1,CAND_0091745,63.79,Strong skill match and relevant experience
2,CAND_0072688,62.97,Strong skill match and relevant experience
3,CAND_0071974,61.97,Strong skill match and relevant experience
4,CAND_0015578,61.95,Strong skill match and relevant experience
5,CAND_0058412,61.51,Strong skill match and relevant experience
6,CAND_0020494,61.41,Strong skill match and relevant experience
7,CAND_0086022,61.06,Strong skill match and relevant experience
8,CAND_0042029,60.97,Strong skill match and relevant experience
9,CAND_0035653,60.81,Strong skill match and relevant experience
10,CAND_0070398,60.63,Strong skill match and relevant experience
11,CAND_0081846,60.3,Strong skill match and relevant experience
12,CAND_0093401,60.07,Strong skill match and relevant experience
13,CAND_0029439,59.97,Strong skill match and relevant experience
14,CAND_0044855,59.92,Strong skill match and relevant experience
15,CAND_0059017,59.73,Strong skill match and relevant experience
16,CAND_0016163,59.67,Strong skill match and relevant experience
17,CAND_0008978,59.66,Strong skill match and relevant experience
18,CAND_0064888,59.56,Strong skill match and relevant experience
19,CAND_0028287,59.51,Strong skill match and relevant experience
20,CAND_0088025,59.36,Strong skill match and relevant experience
21,CAND_0057563,59.36,Strong skill match and relevant experience
22,CAND_0086801,59.35,Strong skill match and relevant experience
23,CAND_0000031,59.25,Strong skill match and relevant experience
24,CAND_0067183,59.14,Strong skill match and relevant experience
25,CAND_0030031,59.06,Strong skill match and relevant experience
26,CAND_0094370,59.06,Strong skill match and relevant experience
27,CAND_0051630,58.99,Strong skill match and relevant experience
28,CAND_0002025,58.98,Strong skill match and relevant experience
29,CAND_0098288,58.94,Strong skill match and relevant experience
30,CAND_0003609,58.84,Strong skill match and relevant experience
31,CAND_0090584,58.84,Strong skill match and relevant experience
32,CAND_0042359,58.82,Strong skill match and relevant experience
33,CAND_0001980,58.75,Strong skill match and relevant experience
34,CAND_0038368,58.7,Strong skill match and relevant experience
35,CAND_0052328,58.46,Strong skill match and relevant experience
36,CAND_0058517,58.34,Strong skill match and relevant experience
37,CAND_0054100,58.05,Strong skill match and relevant experience
38,CAND_0022870,58.0,Strong skill match and relevant experience
39,CAND_0050229,58.0,Strong skill match and relevant experience
40,CAND_0026610,57.95,Strong skill match and relevant experience
41,CAND_0064402,57.93,Strong skill match and relevant experience
42,CAND_0048388,57.93,Strong skill match and relevant experience
43,CAND_0018499,57.91,Strong skill match and relevant experience
44,CAND_0027691,57.81,Strong skill match and relevant experience
45,CAND_0010603,57.72,Strong skill match and relevant experience
46,CAND_0061257,57.7,Strong skill match and relevant experience
47,CAND_0077285,57.68,Strong skill match and relevant experience
48,CAND_0017132,57.66,Strong skill match and relevant experience
49,CAND_0028793,57.66,Strong skill match and relevant experience
50,CAND_0062092,57.64,Strong skill match and relevant experience
51,CAND_0031397,57.6,Strong skill match and relevant experience
52,CAND_0067643,57.59,Strong skill match and relevant experience
53,CAND_0096142,57.57,Strong skill match and relevant experience
54,CAND_0039754,57.52,Strong skill match and relevant experience
55,CAND_0049978,57.52,Strong skill match and relevant experience
56,CAND_0024990,57.48,Strong skill match and relevant experience
57,CAND_0001930,57.48,Strong skill match and relevant experience
58,CAND_0080766,57.36,Strong skill match and relevant experience
59,CAND_0073883,57.36,Strong skill match and relevant experience
60,CAND_0013665,57.31,Strong skill match and relevant experience
61,CAND_0004112,57.28,Strong skill match and relevant experience
62,CAND_0018925,57.24,Strong skill match and relevant experience
63,CAND_0060072,57.18,Strong skill match and relevant experience
64,CAND_0039983,57.15,Strong skill match and relevant experience
65,CAND_0069905,57.14,Strong skill match and relevant experience
66,CAND_0030946,57.14,Strong skill match and relevant experience
67,CAND_0005538,57.13,Strong skill match and relevant experience
68,CAND_0089381,57.13,Strong skill match and relevant experience
69,CAND_0021491,57.1,Strong skill match and relevant experience
70,CAND_0011125,57.09,Strong skill match and relevant experience
71,CAND_0047721,56.95,Strong skill match and relevant experience
72,CAND_0052682,56.92,Strong skill match and relevant experience
73,CAND_0093839,56.84,Strong skill match and relevant experience
74,CAND_0005260,56.84,Strong skill match and relevant experience
75,CAND_0001056,56.82,Strong skill match and relevant experience
76,CAND_0011162,56.81,Strong skill match and relevant experience
77,CAND_0071457,56.81,Strong skill match and relevant experience
78,CAND_0015493,56.81,Strong skill match and relevant experience
79,CAND_0040351,56.79,Strong skill match and relevant experience
80,CAND_0084460,56.75,Strong skill match and relevant experience
81,CAND_0043228,56.74,Strong skill match and relevant experience
82,CAND_0010257,56.73,Strong skill match and relevant experience
83,CAND_0076412,56.72,Strong skill match and relevant experience
84,CAND_0041497,56.67,Strong skill match and relevant experience
85,CAND_0081053,56.66,Strong skill match and relevant experience
86,CAND_0080107,56.65,Strong skill match and relevant experience
87,CAND_0040946,56.63,Strong skill match and relevant experience
88,CAND_0035893,56.6,Strong skill match and relevant experience
89,CAND_0072263,56.59,Strong skill match and relevant experience
90,CAND_0065651,56.57,Strong skill match and relevant experience
91,CAND_0009236,56.56,Strong skill match and relevant experience
92,CAND_0069414,56.52,Strong skill match and relevant experience
93,CAND_0076379,56.5,Strong skill match and relevant experience
94,CAND_0062247,56.5,Strong skill match and relevant experience
95,CAND_0080372,56.48,Strong skill match and relevant experience
96,CAND_0047629,56.48,Strong skill match and relevant experience
97,CAND_0065277,56.47,Strong skill match and relevant experience
98,CAND_0068916,56.46,Strong skill match and relevant experience
99,CAND_0066758,56.44,Strong skill match and relevant experience
100,CAND_0007009,56.4,Strong skill match and relevant experience
